Date,Salesperson,Customer Name,C    ar Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
12/24/2022,Miss Carla Jones,Nicole Vargas,Honda,F-150,2015,38133,0.09919770216194518,3782.71
9/12/2022,Keith Bell,Kevin Nguyen,Honda,F-150,2014,49261,0.10523888451754437,5184.17
9/5/2022,Ashley Spencer,Christina Roberts,Ford,Altima,2016,13572,0.06906280636316628,937.32
1/22/2023,Edward Christian,Tammy Cain,Ford,Civic,2019,20795,0.12103679421366932,2516.96
9/28/2022,Gordon Rhodes,Jessica Washington,Ford,Corolla,2018,32490,0.07021794067284451,2281.38
2/19/2023,Stefanie Jones,Jesse Snow,Toyota,F-150,2016,16150,0.10805675249746374,1745.12
10/22/2022,Cynthia Brown,Antonio Estrada,Ford,Silverado,2011,27218,0.053590363360696475,1458.62
8/6/2022,Jessica Jackson,Jonathan Chaney,Honda,F-150,2021,28765,0.06420307633323721,1846.8
2/4/2023,Oscar Atkins,Johnathan Ramos,Chevrolet,F-150,2020,48884,0.06309507681551939,3084.34
1/24/2023,Duane Garcia,Andrew Hudson,Nissan,Corolla,2020,42405,0.09731710799800358,4126.73
4/25/2023,Howard Morris,Jeremy Spence,Toyota,Silverado,2017,39713,0.075985647853245,3017.62
5/12/2022,Michelle White,Jesse Wilson,Ford,Altima,2016,29570,0.1466141848221486,4335.38
2/4/2023,James Higgins,Casey Stone,Chevrolet,Silverado,2011,39825,0.09773431808948033,3892.27
8/8/2022,Tina Zamora,Anna Diaz,Chevrolet,Silverado,2016,27785,0.1399694035022674,3889.05
10/30/2022,Carol Harmon,Chad Brown,Honda,Silverado,2022,39291,0.08776657988003066,3448.44
12/5/2022,Anna Ryan,William Lynn,Nissan,Civic,2020,45878,0.11767895343737451,5398.88
6/17/2022,James Hall,Benjamin Robertson,Toyota,F-150,2015,26838,0.05858098792093175,1572.2
9/29/2022,Daniel English,Brandon Turner,Chevrolet,Altima,2011,46924,0.1110666875942786,5211.69
3/21/2023,Tracey Williams,Michael Whitaker,Ford,Corolla,2020,47651,0.0543271313982482,2588.74
9/22/2022,Joseph Delacruz,Cynthia Jones,Nissan,Corolla,2013,14458,0.11530991820341886,1667.15
12/27/2022,John Miles,Kyle Stanley,Chevrolet,Corolla,2017,30993,0.1478620092351775,4582.69
9/19/2022,Christina Berry,Dennis Camacho,Chevrolet,F-150,2014,15844,0.0660352324499731,1046.26
7/17/2022,Joseph Reed,Jordan Bell,Toyota,Silverado,2014,36828,0.13139855516264806,4839.15
8/6/2022,Kari Salas,Stephanie Carter,Toyota,Altima,2022,30713,0.11322541606714344,3477.49
9/9/2022,Steve Thompson,Christopher Perry,Chevrolet,F-150,2015,44518,0.13053149652093804,5811
3/26/2023,Donald Willis,Tracy Vaughn,Toyota,Corolla,2011,43592,0.09928746925516088,4328.14
1/18/2023,Gregory Chapman,Stephanie Jones,Honda,Altima,2010,19474,0.11469595352246349,2233.59
7/2/2022,William Palmer,Karen Roth,Ford,F-150,2013,41322,0.0639779207811946,2643.7
11/16/2022,Jacob Williams,Aaron Medina,Toyota,Civic,2014,23582,0.1470957680180211,3468.81
1/6/2023,Austin Garcia,Mckenzie Zavala,Ford,Silverado,2020,22648,0.06399544377960156,1449.37
5/11/2022,Karen Smith,Katherine Henderson,Honda,Altima,2010,37699,0.10663835593496263,4020.16
2/3/2023,Michael Pitts,Julie Jones,Nissan,Altima,2014,33157,0.13333138319587418,4420.87
5/30/2022,Stacie Johnson,Erin King,Nissan,Corolla,2021,28204,0.10501894455435551,2961.95
6/18/2022,Erika Simpson,Loretta Diaz,Nissan,Altima,2022,42530,0.08290765688343028,3526.06
7/19/2022,Bonnie Moore,Dustin Lopez,Nissan,F-150,2021,23810,0.11701596429874951,2786.15
7/1/2022,Brent Todd,Curtis Leonard,Honda,Civic,2016,42672,0.12313788687913849,5254.54
1/5/2023,Julian Jimenez,Natalie Larson,Honda,Civic,2021,18067,0.1339747299063988,2420.52
6/8/2022,Joshua Hess,Matthew Guzman,Chevrolet,Corolla,2013,29710,0.08633145430673395,2564.91
9/23/2022,Robert Smith,Grant Lane,Honda,Altima,2013,30154,0.09149441916146353,2758.92
11/13/2022,Christopher Carter,Jessica Wilson,Toyota,Corolla,2013,34377,0.07892014676711438,2713.04
6/19/2022,Suzanne Rocha,Raymond Hinton,Honda,Altima,2018,13827,0.06268181153459453,866.7
12/2/2022,Jessica Castaneda,Rebecca Rasmussen,Nissan,Civic,2018,21151,0.07183300436118645,1519.34
5/26/2022,Jessica Conrad,Angela Santos,Nissan,Silverado,2012,12403,0.08367788210234173,1037.86
4/19/2023,Teresa Nelson,Jessica Collins MD,Ford,Corolla,2020,39479,0.10336238785056276,4080.64
1/11/2023,Scott Wilson,Shane Wilson,Chevrolet,Corolla,2020,42351,0.05967081745814017,2527.12
9/17/2022,Chad Robinson,Zachary Reese,Toyota,Silverado,2011,13112,0.09226467902834151,1209.77
8/7/2022,Tim Herrera,Natalie Robertson,Honda,Corolla,2017,11248,0.14757543570216383,1659.93
12/30/2022,Crystal Small,Steven Liu,Chevrolet,Altima,2016,35191,0.09690023522556249,3410.02
8/2/2022,Robert Adams,Samuel Wolfe,Chevrolet,Altima,2018,43594,0.05708469834817449,2488.55
2/26/2023,Kimberly Jackson,Christopher Mason,Ford,Altima,2015,36964,0.14739504586391938,5448.31
11/12/2022,Arthur Smith,Matthew Larson,Nissan,Altima,2018,41141,0.1313147167865002,5402.42
4/19/2023,Kyle Chandler,Kelly Miller,Nissan,Civic,2015,16875,0.1349279856800767,2276.91
6/20/2022,Andrea Morris,Tiffany Stewart,Ford,Civic,2016,34503,0.10922969529243784,3768.75
8/4/2022,Gloria Mann,Chris Baker,Ford,Civic,2013,49225,0.11718010953166286,5768.19
4/19/2023,Cindy Conner,Sandra Hart,Toyota,Civic,2015,43635,0.1448071139764629,6318.66
8/25/2022,Mary Ward,Cory Green,Chevrolet,F-150,2015,15892,0.10648502780212929,1692.26
8/28/2022,Andrew Washington,Thomas White,Honda,Silverado,2022,37655,0.07880111237570803,2967.26
5/21/2022,Ashley Bender,Anthony Lopez,Toyota,Corolla,2021,26159,0.14636523003201665,3828.77
10/24/2022,Selena Smith,April Allen,Toyota,Silverado,2020,27854,0.10729292982403763,2988.54
12/12/2022,Russell Atkinson,Kathleen Smith,Chevrolet,Civic,2017,31367,0.07271746727892578,2280.93
11/9/2022,Carol King,Joshua Edwards,Ford,Silverado,2012,45611,0.07778319876728665,3547.77
3/29/2023,Christopher Mendoza,Rose Johnson,Chevrolet,F-150,2017,47493,0.051674859014612246,2454.19
5/13/2022,David Oconnor,Jean Ramirez,Nissan,F-150,2013,38728,0.11128027268741811,4309.66
12/10/2022,Alejandro Johnson,Brandon Walker,Toyota,Corolla,2018,20474,0.10481829331450856,2146.05
1/25/2023,Kevin Johnson,Robert Henry DDS,Nissan,Corolla,2017,27532,0.12032316207787636,3312.74
9/1/2022,Amanda Branch,Paul Pham,Honda,Altima,2022,48674,0.10148011892528702,4939.44
3/6/2023,Jacob Maldonado,Hannah Freeman,Nissan,F-150,2021,24435,0.09147517619480391,2235.2
5/12/2022,Tanner Horne,David Camacho,Honda,Silverado,2014,12312,0.14425296738351906,1776.04
2/8/2023,April Brown,Dennis Cardenas,Toyota,Corolla,2021,29298,0.07640558280373985,2238.53
1/28/2023,Elizabeth Swanson,Sherry Elliott,Toyota,F-150,2014,49461,0.12238939583226788,6053.5
12/30/2022,Deborah Baker MD,Sarah Evans,Honda,Altima,2011,24893,0.13294784069970467,3309.47
3/5/2023,Collin Turner,Stephanie Mendez,Chevrolet,Altima,2015,15463,0.13867283367964237,2144.3
6/10/2022,Michelle Johnson,Joseph Davis,Chevrolet,F-150,2022,43427,0.10128925650441323,4398.69
5/20/2022,Rebecca Mcguire,Antonio Atkins IV,Ford,Silverado,2019,32745,0.13761017835238643,4506.05
12/30/2022,David Kelly,Douglas Frank,Honda,Civic,2016,44326,0.08269625118157795,3665.59
2/11/2023,Mrs. Shannon Frazier DVM,Travis Barnes,Toyota,Altima,2010,35908,0.06452647738671223,2317.02
8/10/2022,Brandi Anderson,Ethan Marquez,Chevrolet,Silverado,2020,25433,0.13405704495669718,3409.47
10/24/2022,Michael Ferguson,Sarah Cochran,Chevrolet,Silverado,2018,26811,0.14013515930825682,3757.16
4/28/2023,Susan Wagner,Andrea Shepherd,Chevrolet,Civic,2020,15607,0.10676828556287984,1666.33
3/7/2023,Timothy Mccormick,Renee Herrera,Chevrolet,Civic,2013,20064,0.09017756503221266,1809.32
8/1/2022,Drew Lambert,Sylvia Williams,Toyota,Corolla,2019,48779,0.05289961169968909,2580.39
5/1/2022,Lee Wilson,Pamela Lynn,Chevrolet,Altima,2022,43674,0.09933736526216747,4338.46
1/24/2023,Matthew Carlson,John Santiago,Chevrolet,Altima,2013,22172,0.07219547585108274,1600.72
7/28/2022,Vanessa Perry,Charles Bailey,Chevrolet,Civic,2017,13133,0.14760702332867284,1938.52
